Red Agrometeorológica de INIA,,agromet.inia.cl,,,
Estación,Azapa Medio,,,,
Habilitada el,21-03-2011,,,,
Generado,06-08-2018 11:37:25,,,,
,,,,,
#,FECHA/HORA,Temperatura del Aire (°C),Humedad Relativa (%),Velocidad del Viento (Km/h),Radiación Solar (W/m2)
7616,14-11-2017 07:00,"16,6","73,5","0,4","47,5"
7617,14-11-2017 08:00,"17,5","69,5","1,8","145,9"
7618,14-11-2017 09:00,"19,9",60,4,"554,1"
7619,14-11-2017 10:00,"22,9","50,8","4,7","688,1"
7620,14-11-2017 11:00,"24,2","48,7","6,1","817,6"
7621,14-11-2017 12:00,"25,5","45,7","6,8","875,7"
7622,14-11-2017 13:00,"24,8","47,9","9,7",861
7623,14-11-2017 14:00,"23,9","49,1",9,"790,2"
7624,14-11-2017 15:00,"23,8","49,2","8,6","661,7"
7625,14-11-2017 16:00,"23,2","51,8","7,2","483,2"
7626,14-11-2017 17:00,"21,7","56,3","6,5","261,2"
7627,14-11-2017 18:00,"18,8","66,8",4,35
7628,14-11-2017 19:00,"17,7",73,"2,2","0,7"
7629,14-11-2017 20:00,"17,4","74,7","1,8",0
7630,14-11-2017 21:00,"17,2","75,9","1,4",0
7631,14-11-2017 22:00,17,"78,7","1,8",0
7632,14-11-2017 23:00,"16,5","82,7","0,7",0
7633,15-11-2017 00:00,"16,3","84,3",0,0
7634,15-11-2017 01:00,"16,2","84,8",0,0
7635,15-11-2017 02:00,"16,1","84,8","0,7",0
7636,15-11-2017 03:00,"15,9","86,1",0,0
7637,15-11-2017 04:00,"15,8","86,5",0,0
7638,15-11-2017 05:00,"15,9",86,0,0
7639,15-11-2017 06:00,16,"85,6",0,"4,6"
7640,15-11-2017 07:00,"16,4","84,2",0,"39,2"
7641,15-11-2017 08:00,"17,5","77,5","1,1","119,1"
7642,15-11-2017 09:00,"18,6","71,8","2,9",168
7643,15-11-2017 10:00,"19,3","67,4","3,6","221,2"
7644,15-11-2017 11:00,"20,2",64,"4,7","320,3"
7645,15-11-2017 12:00,22,"56,9","5,8","525,1"
7646,15-11-2017 13:00,"22,7","55,2","7,2","578,6"
7647,15-11-2017 14:00,"23,3","53,2","7,6","610,6"
7648,15-11-2017 15:00,"22,4","55,3","7,2","413,9"
7649,15-11-2017 16:00,"21,4","56,5","7,9","265,6"
7650,15-11-2017 17:00,"20,2","58,7","6,1","141,5"
7651,15-11-2017 18:00,"18,8","60,7","4,7","51,4"
7652,15-11-2017 19:00,"17,6","63,3","2,2","0,7"
7653,15-11-2017 20:00,"17,4","64,4","1,1",0
7654,15-11-2017 21:00,"17,3","65,2",0,0
7655,15-11-2017 22:00,"17,2","66,9","0,4",0
7656,15-11-2017 23:00,"17,2","68,7","0,4",0
7657,16-11-2017 00:00,"17,1","69,5",0,0
7658,16-11-2017 01:00,"16,9","70,1",0,0
7659,16-11-2017 02:00,"16,6","71,1",0,0
7660,16-11-2017 03:00,"16,3","72,1","0,7",0
7661,16-11-2017 04:00,16,"74,8","0,7",0
7662,16-11-2017 05:00,"15,8","77,5","0,4",0
7663,16-11-2017 06:00,"15,7","79,1","0,7","6,6"
7664,16-11-2017 07:00,16,"77,3","2,2","50,4"
7665,16-11-2017 08:00,17,"72,5","2,2","145,4"
7666,16-11-2017 09:00,"18,3","66,5","2,9","277,4"
7667,16-11-2017 10:00,"20,6","58,9","5,4","547,3"
7668,16-11-2017 11:00,"21,5","55,5","5,8","625,1"
7669,16-11-2017 12:00,"22,9","50,5","7,2",850
7670,16-11-2017 13:00,"23,9","46,4","7,6",807
7671,16-11-2017 14:00,"24,4","44,9","8,6","809,5"
7672,16-11-2017 15:00,"23,8","45,9","7,6","657,4"
7673,16-11-2017 16:00,"23,1","47,1","6,8","490,8"
7674,16-11-2017 17:00,"21,9","49,5","6,5","290,7"
7675,16-11-2017 18:00,"19,9","56,1",5,"90,6"
7676,16-11-2017 19:00,"16,9","65,1","1,4","2,2"
7677,16-11-2017 20:00,"15,9","68,2",0,0
7678,16-11-2017 21:00,"16,5","65,3",0,0
7679,16-11-2017 22:00,"16,7","64,8",0,0
7680,16-11-2017 23:00,"16,8","64,8","0,4",0
7681,17-11-2017 00:00,"16,7","65,2","0,4",0
7682,17-11-2017 01:00,"16,4","67,2","0,4",0
7683,17-11-2017 02:00,"16,3","68,2","0,7",0
7684,17-11-2017 03:00,"16,1",70,"1,1",0
7685,17-11-2017 04:00,"15,8","72,5","0,4",0
7686,17-11-2017 05:00,"15,6","73,2",0,0
7687,17-11-2017 06:00,"15,5","74,1",0,"7,6"
7688,17-11-2017 07:00,"16,3","69,2",0,"71,4"
7689,17-11-2017 08:00,"18,8","57,5","1,8","354,7"
7690,17-11-2017 09:00,"20,9",51,"4,7","575,7"
7691,17-11-2017 10:00,"22,7","46,2","6,1",687
7692,17-11-2017 11:00,"23,6","43,9","6,1","828,7"
7693,17-11-2017 12:00,"24,2","41,9","6,1","891,2"
7694,17-11-2017 13:00,"25,2","38,2","7,6","882,2"
7695,17-11-2017 14:00,"25,3",37,"7,6","812,7"
7696,17-11-2017 15:00,"24,9","37,5","7,2","681,5"
7697,17-11-2017 16:00,"23,7","41,5","7,9","505,8"
7698,17-11-2017 17:00,"22,2","45,7","7,9","301,9"
7699,17-11-2017 18:00,"19,9","53,6","6,1","96,6"
7700,17-11-2017 19:00,"16,6",64,"1,4","2,2"
7701,17-11-2017 20:00,"14,6","71,5",0,0
7702,17-11-2017 21:00,"12,3",79,0,0
7703,17-11-2017 22:00,"11,5","83,2",0,0
7704,17-11-2017 23:00,"11,7",83,0,0
7705,18-11-2017 00:00,"11,3","83,5",0,0
7706,18-11-2017 01:00,"11,3","83,2",0,0
7707,18-11-2017 02:00,"10,9","83,4",0,0
7708,18-11-2017 03:00,"10,6","84,6",0,0
7709,18-11-2017 04:00,10,"85,9",0,0
7710,18-11-2017 05:00,"9,2","87,3",0,0
7711,18-11-2017 06:00,"9,4","88,5",0,"29,7"
7712,18-11-2017 07:00,"13,5","76,8","0,4","193,7"
7713,18-11-2017 08:00,"17,8",60,"1,8","385,4"
7714,18-11-2017 09:00,"20,4","51,2","4,7","590,5"
7715,18-11-2017 10:00,23,"44,6","5,4","703,5"
7716,18-11-2017 11:00,24,"43,3","6,8","844,2"
7717,18-11-2017 12:00,"24,1","43,8","8,3","899,7"
7718,18-11-2017 13:00,"24,2","44,3","8,6","887,5"
7719,18-11-2017 14:00,"24,1","43,7",9,"815,2"
7720,18-11-2017 15:00,"23,4","43,4","10,1","686,1"
7721,18-11-2017 16:00,"22,7","45,2","8,3","507,4"
7722,18-11-2017 17:00,"21,9","47,7","5,8","304,8"
7723,18-11-2017 18:00,"19,9",55,4,"97,2"
7724,18-11-2017 19:00,"16,3","65,9",0,"2,4"
7725,18-11-2017 20:00,"13,4","73,9",0,0
7726,18-11-2017 21:00,"11,5","79,8",0,0
7727,18-11-2017 22:00,"10,4",83,0,0
7728,18-11-2017 23:00,"10,6","84,8",0,0
7729,19-11-2017 00:00,"10,3","85,9",0,0
7730,19-11-2017 01:00,"10,7","85,5","0,7",0
7731,19-11-2017 02:00,"10,7","84,6","0,4",0
7732,19-11-2017 03:00,"10,4","85,4",0,0
7733,19-11-2017 04:00,"9,8","86,6",0,0
7734,19-11-2017 05:00,"9,3","87,5",0,0
7735,19-11-2017 06:00,"9,5","88,5",0,"29,7"
7736,19-11-2017 07:00,"13,6","76,2",0,"190,4"
7737,19-11-2017 08:00,"18,3","58,1","1,4","393,4"
7738,19-11-2017 09:00,"21,4",48,"3,2","587,9"
7739,19-11-2017 10:00,"24,2","40,1","5,4","702,8"
7740,19-11-2017 11:00,"26,1","36,6","7,2","844,5"
7741,19-11-2017 12:00,"25,7","38,5","8,6","901,2"
7742,19-11-2017 13:00,"25,6","38,5",9,"894,7"
7743,19-11-2017 14:00,"26,2","35,1",9,"839,5"
7744,19-11-2017 15:00,"26,3","34,9","10,1","719,3"
7745,19-11-2017 16:00,25,"39,5","8,3","553,6"
7746,19-11-2017 17:00,23,"47,3","6,8","326,9"
7747,19-11-2017 18:00,21,"52,8","3,6","144,1"
7748,19-11-2017 19:00,"17,2","65,4","1,1","6,2"
7749,19-11-2017 20:00,"14,8","71,6",0,0
7750,19-11-2017 21:00,"13,1","77,8",0,0
7751,19-11-2017 22:00,"11,6","81,5",0,0
7752,19-11-2017 23:00,"11,2","84,6",0,0
7753,20-11-2017 00:00,11,"85,2",0,0
7754,20-11-2017 01:00,"10,2","86,4",0,0
7755,20-11-2017 02:00,"10,1","87,6",0,0
7756,20-11-2017 03:00,"9,9",88,0,0
7757,20-11-2017 04:00,10,"88,8",0,0
7758,20-11-2017 05:00,"11,8","87,9",0,0
7759,20-11-2017 06:00,"13,5","82,4","0,4",10
7760,20-11-2017 07:00,"15,1","76,5","0,4","62,1"
7761,20-11-2017 08:00,"16,9","68,7","1,8","281,3"
7762,20-11-2017 09:00,"19,9","57,5","2,9","608,9"
7763,20-11-2017 10:00,"22,2","50,1","4,3","726,9"
7764,20-11-2017 11:00,"24,8","41,1",5,"866,5"
7765,20-11-2017 12:00,"25,6","41,7","7,6","927,5"
7766,20-11-2017 13:00,"25,6","40,7","7,6","917,2"
7767,20-11-2017 14:00,"26,2","39,1","6,8",849
7768,20-11-2017 15:00,"26,1","39,3","7,2","714,5"
7769,20-11-2017 16:00,"25,4",41,"6,8","530,5"
7770,20-11-2017 17:00,"23,7","45,5","6,1","320,5"
7771,20-11-2017 18:00,"21,5","52,5","4,3","98,5"
7772,20-11-2017 19:00,18,64,"2,5","2,8"
7773,20-11-2017 20:00,"15,6",72,0,0
7774,20-11-2017 21:00,"13,5","77,4",0,0
7775,20-11-2017 22:00,"11,8","82,9",0,0
7776,20-11-2017 23:00,"11,4","85,4",0,0
7777,21-11-2017 00:00,"10,3","86,2",0,0
7778,21-11-2017 01:00,"9,8",88,0,0
7779,21-11-2017 02:00,"9,9","88,7",0,0
7780,21-11-2017 03:00,10,"89,1",0,"0,4"
7781,21-11-2017 04:00,"9,6","89,1",0,"0,5"
7782,21-11-2017 05:00,"9,5","89,5",0,"0,5"
7783,21-11-2017 06:00,"9,9",90,0,38
7784,21-11-2017 07:00,"13,5","83,8","0,7","177,6"
7785,21-11-2017 08:00,"17,7","64,7","2,2","421,4"
7786,21-11-2017 09:00,20,"56,5","4,7","579,2"
7787,21-11-2017 10:00,"22,1","50,1","4,7","731,5"
7788,21-11-2017 11:00,"23,8","45,8","6,5",875
7789,21-11-2017 12:00,"24,5","45,2","7,9","938,2"
7790,21-11-2017 13:00,"24,4","44,5","7,2","915,7"
7791,21-11-2017 14:00,"24,1","44,7","7,9","844,2"
7792,21-11-2017 15:00,"23,8","44,6","8,6","719,3"
7793,21-11-2017 16:00,"23,5","44,8","8,3","545,2"
7794,21-11-2017 17:00,"22,3","48,6","7,6","325,6"
7795,21-11-2017 18:00,"20,1","56,9","7,6","105,4"
7796,21-11-2017 19:00,"17,2","66,7",4,"2,7"
7797,21-11-2017 20:00,"15,8","71,9","1,1",0
7798,21-11-2017 21:00,"14,6","75,8","0,4",0
7799,21-11-2017 22:00,"12,6","80,6",0,0
7800,21-11-2017 23:00,"12,1","83,6",0,0
7801,22-11-2017 00:00,13,84,0,0
7802,22-11-2017 01:00,"14,7","77,4",0,0
7803,22-11-2017 02:00,"15,2","75,4",0,0
7804,22-11-2017 03:00,"15,5","74,6",0,0
7805,22-11-2017 04:00,"15,5","73,1","0,4",0
7806,22-11-2017 05:00,"15,4","73,2",0,0
7807,22-11-2017 06:00,"15,3","72,7","0,4","9,6"
7808,22-11-2017 07:00,"15,8","69,9","1,4","78,4"
7809,22-11-2017 08:00,"17,3","64,2","1,8","250,9"
7810,22-11-2017 09:00,"19,4","56,7","4,3","612,5"
7811,22-11-2017 10:00,"21,6",50,"4,3","677,8"
7812,22-11-2017 11:00,"24,1","44,2","5,4","872,2"
7813,22-11-2017 12:00,"24,9","42,7","6,8","931,5"
7814,22-11-2017 13:00,25,"42,4","7,2","919,2"
7815,22-11-2017 14:00,"24,9","42,7","7,9","845,7"
7816,22-11-2017 15:00,24,"44,1","9,7","715,4"
7817,22-11-2017 16:00,23,"46,8",9,"532,9"
7818,22-11-2017 17:00,"21,6",51,"8,3","326,5"
7819,22-11-2017 18:00,"18,8","61,6","7,6","102,2"
7820,22-11-2017 19:00,"15,8","71,6","2,5","3,1"
7821,22-11-2017 20:00,"14,3","76,6",0,0
7822,22-11-2017 21:00,"14,7","77,7","0,7",0
7823,22-11-2017 22:00,"15,2","75,6","1,1",0
7824,22-11-2017 23:00,"15,4","74,4",0,0
7825,23-11-2017 00:00,"15,6","73,8",0,0
7826,23-11-2017 01:00,"15,6","73,5",0,0
7827,23-11-2017 02:00,"15,7","73,1",0,0
7828,23-11-2017 03:00,"15,6","72,8","0,4",0
7829,23-11-2017 04:00,"15,5","73,5","0,4",0
7830,23-11-2017 05:00,"15,5","73,7","0,4",0
7831,23-11-2017 06:00,"15,5","73,6","0,4","3,2"
7832,23-11-2017 07:00,"15,7","72,5",0,"17,8"
7833,23-11-2017 08:00,16,"71,2","1,1","55,8"
7834,23-11-2017 09:00,"16,7","68,3","2,2","127,9"
7835,23-11-2017 10:00,"17,6","64,5","2,5","248,4"
7836,23-11-2017 11:00,"19,7","56,9",4,"486,2"
7837,23-11-2017 12:00,"21,9","49,6","5,8","838,1"
7838,23-11-2017 13:00,"23,4","43,9","6,5","918,7"
7839,23-11-2017 14:00,"24,3","40,3","7,6","852,2"
7840,23-11-2017 15:00,"24,2","40,6","6,8",752
7841,23-11-2017 16:00,"23,7",41,"5,8","539,5"
7842,23-11-2017 17:00,"22,2","45,8","5,8","329,9"
7843,23-11-2017 18:00,"19,6","54,4","5,8","99,4"
7844,23-11-2017 19:00,"16,7","64,2","2,2","4,4"
7845,23-11-2017 20:00,"14,7","70,1",0,0
7846,23-11-2017 21:00,"12,5","77,6",0,0
7847,23-11-2017 22:00,"11,3","82,2",0,0
7848,23-11-2017 23:00,"10,7",84,0,0
7849,24-11-2017 00:00,"12,2","83,6",0,0
7850,24-11-2017 01:00,"13,9","78,2",0,0
7851,24-11-2017 02:00,"14,5","75,4",0,0
7852,24-11-2017 03:00,"14,8","74,3",0,0
7853,24-11-2017 04:00,"15,1","71,3",0,0
7854,24-11-2017 05:00,"15,3","69,1",0,0
7855,24-11-2017 06:00,"15,4","68,5",0,"6,5"
7856,24-11-2017 07:00,16,66,"1,1","57,2"
7857,24-11-2017 08:00,"17,1","61,1","1,1","161,7"
7858,24-11-2017 09:00,"19,1","53,9","2,9","478,9"
7859,24-11-2017 10:00,"21,4","47,7","5,4","728,3"
7860,24-11-2017 11:00,"23,4","42,6","5,8","869,2"
7861,24-11-2017 12:00,"24,5","40,4","6,8","927,7"
7862,24-11-2017 13:00,"25,1","39,4","6,8",921
7863,24-11-2017 14:00,"24,9","39,5","7,6","847,5"
7864,24-11-2017 15:00,"24,6","39,4","6,5","713,9"
7865,24-11-2017 16:00,"24,4","40,3","5,4","536,6"
7866,24-11-2017 17:00,"23,4","43,1","4,7","328,7"
7867,24-11-2017 18:00,"21,2","50,1","3,2","113,4"
7868,24-11-2017 19:00,"17,5","61,7","1,4","3,1"
7869,24-11-2017 20:00,"15,6","67,7","0,7",0
7870,24-11-2017 21:00,"13,1","76,4",0,0
7871,24-11-2017 22:00,"11,5","81,4",0,0
7872,24-11-2017 23:00,"11,1","83,9",0,0
7873,25-11-2017 00:00,"10,8","84,5",0,0
7874,25-11-2017 01:00,"10,3","85,3",0,0
7875,25-11-2017 02:00,"9,4","85,8",0,0
7876,25-11-2017 03:00,"8,8","87,4",0,0
7877,25-11-2017 04:00,"8,7","88,5",0,"0,2"
7878,25-11-2017 05:00,"8,8","88,7",0,"0,5"
7879,25-11-2017 06:00,"8,7","89,5",0,"30,6"
7880,25-11-2017 07:00,"12,6","80,8","0,4","197,6"
7881,25-11-2017 08:00,17,"63,4","1,4","415,4"
7882,25-11-2017 09:00,"19,4","55,9",4,"612,8"
7883,25-11-2017 10:00,"21,8","48,4","4,3","733,9"
7884,25-11-2017 11:00,"23,7","43,9","6,1",868
7885,25-11-2017 12:00,"24,3","43,3","7,9","927,7"
7886,25-11-2017 13:00,"24,2","42,9","7,6",918
7887,25-11-2017 14:00,"24,6","40,2","6,8",850
7888,25-11-2017 15:00,24,"42,7","8,6","716,6"
7889,25-11-2017 16:00,"22,6","46,1","9,4","534,9"
7890,25-11-2017 17:00,"21,7",49,"7,2","324,8"
7891,25-11-2017 18:00,"19,3","57,9","6,1","109,9"
7892,25-11-2017 19:00,"16,1","68,8","2,5","4,1"
7893,25-11-2017 20:00,"15,1","72,5","1,8",0
7894,25-11-2017 21:00,"15,5","70,5","1,1",0
7895,25-11-2017 22:00,"15,7",70,0,0
7896,25-11-2017 23:00,"14,6","72,7",0,0
7897,26-11-2017 00:00,"11,6","81,5",0,0
7898,26-11-2017 01:00,"10,3","84,5",0,0
7899,26-11-2017 02:00,"10,3","86,3",0,0
7900,26-11-2017 03:00,"10,1","86,9",0,0
7901,26-11-2017 04:00,11,"87,2","0,4",0
7902,26-11-2017 05:00,"12,8",82,0,0
7903,26-11-2017 06:00,"13,9","78,9",0,"16,3"
7904,26-11-2017 07:00,"15,5","71,5","1,1",180
7905,26-11-2017 08:00,"17,3","62,7","1,8","413,3"
7906,26-11-2017 09:00,"20,2","54,4",4,"611,8"
7907,26-11-2017 10:00,"22,1","48,5","6,1","726,1"
7908,26-11-2017 11:00,"23,5","44,6","6,8",870
7909,26-11-2017 12:00,"23,7",44,"7,9","931,7"
7910,26-11-2017 13:00,"24,2","40,8","7,2","925,5"
7911,26-11-2017 14:00,25,"37,9","7,9","857,5"
7912,26-11-2017 15:00,"24,3","40,6","8,3","722,4"
7913,26-11-2017 16:00,"23,1","43,7","8,6","541,9"
7914,26-11-2017 17:00,"21,9","47,5","7,6","333,1"
7915,26-11-2017 18:00,"20,5","52,3","2,9","116,1"
7916,26-11-2017 19:00,17,"64,2","0,4","3,8"
7917,26-11-2017 20:00,"14,5",72,0,0
7918,26-11-2017 21:00,"12,1","77,1",0,0
7919,26-11-2017 22:00,"10,8","81,6",0,0
7920,26-11-2017 23:00,"10,5","84,7",0,0
7921,27-11-2017 00:00,"10,3","85,8",0,0
7922,27-11-2017 01:00,"10,3","86,1",0,0
7923,27-11-2017 02:00,"9,7","86,7",0,0
7924,27-11-2017 03:00,"9,8","87,2","0,4",0
7925,27-11-2017 04:00,"9,2","87,3",0,0
7926,27-11-2017 05:00,"8,8","88,6","0,4","0,4"
7927,27-11-2017 06:00,"9,3","89,3",0,"32,7"
7928,27-11-2017 07:00,"12,8","82,6",0,"206,1"
7929,27-11-2017 08:00,"17,2","61,9","1,8","418,3"
7930,27-11-2017 09:00,"20,2","51,9",4,"619,1"
7931,27-11-2017 10:00,"22,8","44,5","5,4","748,7"
7932,27-11-2017 11:00,"24,2","40,3","7,2","885,2"
7933,27-11-2017 12:00,"24,6","40,1","7,2","899,5"
7934,27-11-2017 13:00,"25,5","36,6","7,9","926,5"
7935,27-11-2017 14:00,"25,2","37,3","9,7","854,5"
7936,27-11-2017 15:00,"23,5","41,2","11,5","721,5"
7937,27-11-2017 16:00,"22,4","45,6","10,4","541,7"
7938,27-11-2017 17:00,21,"50,8","8,6","331,3"
7939,27-11-2017 18:00,"18,6","58,5","6,5","111,6"
7940,27-11-2017 19:00,"15,8","69,5","1,4","5,5"
7941,27-11-2017 20:00,"15,3","72,5","0,4",0
7942,27-11-2017 21:00,"15,5","73,5",0,0
7943,27-11-2017 22:00,"15,8","72,5",0,0
7944,27-11-2017 23:00,"14,7","74,4",0,0
7945,28-11-2017 00:00,"12,6","79,1",0,0
7946,28-11-2017 01:00,"11,4","82,5",0,0
7947,28-11-2017 02:00,"11,4","83,8",0,0
7948,28-11-2017 03:00,"10,8","84,5",0,0
7949,28-11-2017 04:00,"10,7","86,3",0,0
7950,28-11-2017 05:00,"10,7","86,4",0,0
7951,28-11-2017 06:00,"11,3","86,3","0,4","31,1"
7952,28-11-2017 07:00,"14,5","74,5","0,4","189,2"
7953,28-11-2017 08:00,"18,5","58,8","1,8","392,3"
7954,28-11-2017 09:00,"21,2",52,"4,3","586,6"
7955,28-11-2017 10:00,"23,1","46,5","5,8","702,3"
7956,28-11-2017 11:00,"24,3","43,7","6,8","843,2"
7957,28-11-2017 12:00,"25,2","40,3","7,9","909,2"
7958,28-11-2017 13:00,"25,6",39,"8,3","913,5"
7959,28-11-2017 14:00,26,"37,6","8,3","844,8"
7960,28-11-2017 15:00,"25,2","39,1",9,"731,8"
7961,28-11-2017 16:00,"24,1","42,5","9,4","568,3"
7962,28-11-2017 17:00,22,"47,6","5,8","251,4"
7963,28-11-2017 18:00,22,49,"3,2","168,9"
7964,28-11-2017 19:00,"17,9","61,4","2,9","7,6"
7965,28-11-2017 20:00,"15,8","68,9","0,4",0
7966,28-11-2017 21:00,"13,8","74,6",0,0
7967,28-11-2017 22:00,"12,7","80,2",0,0
7968,28-11-2017 23:00,"12,1","81,9",0,0
7969,29-11-2017 00:00,"11,5","83,9",0,0
7970,29-11-2017 01:00,"11,1","84,5",0,0
7971,29-11-2017 02:00,"11,2","85,4",0,0
7972,29-11-2017 03:00,"11,4","85,1",0,0
7973,29-11-2017 04:00,"10,5","85,1",0,0
7974,29-11-2017 05:00,"9,7","87,1",0,0
7975,29-11-2017 06:00,"10,5","87,9","0,4","29,9"
7976,29-11-2017 07:00,"13,8","77,4",0,"179,5"
7977,29-11-2017 08:00,"18,4","58,1","1,4","409,8"
7978,29-11-2017 09:00,"21,3","49,1","4,7","611,8"
7979,29-11-2017 10:00,"23,2","45,2","5,8","729,8"
7980,29-11-2017 11:00,"24,2","42,3","6,8","814,1"
7981,29-11-2017 12:00,"24,9","40,1","7,9",920
7982,29-11-2017 13:00,"25,1","39,1","8,3",764
7983,29-11-2017 14:00,"25,2","38,8","9,4","868,1"
7984,29-11-2017 15:00,"24,1","41,7",9,"665,6"
7985,29-11-2017 16:00,"23,5","43,2","8,6","495,2"
7986,29-11-2017 17:00,22,"48,3","7,2",317
7987,29-11-2017 18:00,"20,7","53,1","3,6","122,2"
7988,29-11-2017 19:00,17,"65,6","0,7","4,2"
7989,29-11-2017 20:00,"14,3","74,2",0,0
7990,29-11-2017 21:00,"12,1","78,2",0,0
7991,29-11-2017 22:00,"10,9","83,4",0,0
7992,29-11-2017 23:00,"10,6","85,7",0,0
7993,30-11-2017 00:00,"10,5","86,2",0,0
7994,30-11-2017 01:00,"10,1","86,7",0,0
7995,30-11-2017 02:00,"9,8","87,3",0,0
7996,30-11-2017 03:00,"9,5","87,9",0,"0,1"
7997,30-11-2017 04:00,"9,1","88,4",0,"0,5"
7998,30-11-2017 05:00,"9,1",89,0,"0,5"
7999,30-11-2017 06:00,"9,5","89,6",0,"31,1"
8000,30-11-2017 07:00,"13,2","80,5","0,7","202,8"
8001,30-11-2017 08:00,"17,1","65,7","2,5","387,2"
8002,30-11-2017 09:00,"19,6","56,2","3,6","594,4"
8003,30-11-2017 10:00,"21,9","49,5",4,"712,9"
8004,30-11-2017 11:00,"23,5","45,7","6,1","846,1"
8005,30-11-2017 12:00,"24,4","42,8","7,2",914
8006,30-11-2017 13:00,"24,3","43,1","8,6","909,5"
8007,30-11-2017 14:00,"23,9","44,6","9,4",844
8008,30-11-2017 15:00,23,"46,3","10,1",714
8009,30-11-2017 16:00,"22,2","47,5","9,7","540,4"
8010,30-11-2017 17:00,"22,1","47,7","5,4","334,9"
8011,30-11-2017 18:00,"19,8","56,9","4,7","120,4"
8012,30-11-2017 19:00,"16,3","69,5","1,1","4,4"
8013,30-11-2017 20:00,"14,1","76,5",0,0
8014,30-11-2017 21:00,"12,4","81,6",0,0
8015,30-11-2017 22:00,"11,5",84,0,0
8016,30-11-2017 23:00,"11,3",85,0,0
8017,01-12-2017 00:00,"10,6","85,9",0,0
8018,01-12-2017 01:00,"10,2","87,1",0,0
8019,01-12-2017 02:00,"9,9","88,2",0,"0,3"
8020,01-12-2017 03:00,"9,6","88,4",0,"0,5"
8021,01-12-2017 04:00,"9,4","89,2",0,"0,5"
8022,01-12-2017 05:00,"9,5","89,3",0,"0,5"
8023,01-12-2017 06:00,"10,1","89,8","0,4","30,1"
8024,01-12-2017 07:00,"13,7","79,8","0,7","187,6"
8025,01-12-2017 08:00,"18,1","61,3","1,4","391,9"
8026,01-12-2017 09:00,"20,9","52,7",4,"579,3"
8027,01-12-2017 10:00,"23,5","44,9",5,"695,3"
8028,01-12-2017 11:00,"24,6","42,8","6,8","823,4"
8029,01-12-2017 12:00,"25,1","41,1","6,8",904
8030,01-12-2017 13:00,"25,6","40,1","7,9","895,5"
8031,01-12-2017 14:00,"25,3","41,9","9,7","830,7"
8032,01-12-2017 15:00,"24,5","41,8","9,4","704,7"
8033,01-12-2017 16:00,"24,5","42,5","7,6","530,9"
8034,01-12-2017 17:00,"23,1","47,7","7,2","327,4"
8035,01-12-2017 18:00,"20,8","54,9",4,"120,6"
8036,01-12-2017 19:00,"17,3",66,"1,8","4,9"
8037,01-12-2017 20:00,"15,4","71,2",0,0
8038,01-12-2017 21:00,"13,4","77,5",0,0
8039,01-12-2017 22:00,"12,4",81,0,0
8040,01-12-2017 23:00,"11,8","84,1",0,0
8041,02-12-2017 00:00,"11,8","85,6",0,0
8042,02-12-2017 01:00,"11,6","85,8","0,4",0
8043,02-12-2017 02:00,"11,4","85,7",0,0
8044,02-12-2017 03:00,"10,9","86,1",0,0
8045,02-12-2017 04:00,"10,9","86,7",0,0
8046,02-12-2017 05:00,"10,8","87,1","0,4",0
8047,02-12-2017 06:00,"11,6","86,2","0,4","33,9"
8048,02-12-2017 07:00,"15,2","71,8","0,7","189,3"
8049,02-12-2017 08:00,"19,3","57,5","2,5","389,3"
8050,02-12-2017 09:00,"21,7","50,1",4,"584,9"
8051,02-12-2017 10:00,"23,9","44,7","5,4","690,8"
8052,02-12-2017 11:00,"24,9","43,6","7,2","833,9"
8053,02-12-2017 12:00,"25,7","42,2","8,6","894,5"
8054,02-12-2017 13:00,"26,2","39,4","8,3",884
8055,02-12-2017 14:00,"26,1","38,5","9,7","817,7"
8056,02-12-2017 15:00,"25,3","40,8","10,4","691,3"
8057,02-12-2017 16:00,25,"40,4","7,9","517,7"
8058,02-12-2017 17:00,"24,3","42,4","6,5","306,4"
8059,02-12-2017 18:00,22,49,"3,2","94,2"
8060,02-12-2017 19:00,"19,1","57,3","0,4",7
8061,02-12-2017 20:00,"16,8","64,8",0,0
8062,02-12-2017 21:00,"14,8","71,2",0,0
8063,02-12-2017 22:00,"13,2","76,4",0,0
8064,02-12-2017 23:00,"12,3",81,0,0
8065,03-12-2017 00:00,"12,1",82,0,0
8066,03-12-2017 01:00,"11,8","82,6",0,0
8067,03-12-2017 02:00,"11,5","82,8",0,0
8068,03-12-2017 03:00,"10,8",83,0,0
8069,03-12-2017 04:00,"9,8","85,5",0,0
8070,03-12-2017 05:00,"9,9","87,2",0,0
8071,03-12-2017 06:00,"10,5","87,9",0,"31,9"
8072,03-12-2017 07:00,"14,3","74,9","1,1","172,9"
8073,03-12-2017 08:00,"19,3","55,2","1,8","390,9"
8074,03-12-2017 09:00,"21,7",48,5,582
8075,03-12-2017 10:00,"23,5","43,7","5,4","697,1"
8076,03-12-2017 11:00,25,"39,3","6,1","830,9"
8077,03-12-2017 12:00,"25,8","37,8","7,6","895,2"
8078,03-12-2017 13:00,"26,1","36,8","7,6","888,2"
8079,03-12-2017 14:00,"26,1","36,4","9,4","816,2"
8080,03-12-2017 15:00,"25,8","36,7","9,4","695,4"
8081,03-12-2017 16:00,"25,2","38,1",9,"521,6"
8082,03-12-2017 17:00,"23,6","43,2","9,7","324,3"
